raw|cosmetic
northeastern:drs:aslp:niec|National Interpreter Education Center Staff
northeastern:drs:aslp:series|National Interpreter Education Center - Series (Test Group)
northeastern:drs:aslp:aslp-staff|CSSH - American Sign Language Program Staff
northeastern:drs:athletics:athletics_department|Department of Athletics
northeastern:drs:athletics:hall_of_fame|Department of Athletics - Hall of Fame Staff
northeastern:drs:board_of_trustees:board_members|Board of Trustees
northeastern:drs:bouve:deans_office:media|Bouvé College of Health Sciences - Dean's Office Media Group
northeastern:drs:bouve:rural_health|Rural Health Project Team
northeastern:drs:bouve:school_of_pharmacy:staff|Bouvé College of Health Sciences - School of Pharmacy Staff
northeastern:drs:camd:boston_womens_march_posters|Boston Women's March Posters Project Team
northeastern:drs:camd:department_of_art_and_design:art_and_design_gallery|CAMD - Art and Design Group
northeastern:drs:camd:department_of_art_and_design:ghostlab|CAMD - Ghostlab Research Team
northeastern:drs:camd:department_of_art_and_design:grafica-latina|CAMD - Grafica Latina Project Team
northeastern:drs:camd:out_and_about|CAMD - Out and About Project Team
northeastern:drs:camd:photo_archive:staff|CAMD Photo Archive Staff
northeastern:drs:camd:photo_archive:users|CAMD Photo Archive Users
northeastern:drs:camd:school_of_architecture:administration|CAMD - School of Architecture Staff
northeastern:drs:college_of_computer_information_science:ccis_technical_reports|CCIS Technical Reports Staff
northeastern:drs:college_of_engineering:civil_and_environmental_engineering:hajjar_lab|Hajjar Lab Team
northeastern:drs:college_of_engineering:coe_marcom:coe-photograph-access|College of Engineering - Photo Archive Users
northeastern:drs:college_of_engineering:deans_office|College of Engineering - Dean's Office Staff
northeastern:drs:college_of_engineering:electrical_and_computer_engineering:bspiral|College of Engineering - BSPIRAL Team
northeastern:drs:college_of_engineering:electrical_and_computer_engineering:cognitive_systems_laboratory|College of Engineering - Cognitive Systems Laboratory Team
northeastern:drs:college_of_engineering:electrical_and_computer_engineering:csl:csl_owners|College of Engineering - Cognitive Systems Laboratory Owners
northeastern:drs:college_of_engineering:electrical_and_computer_engineering:dnal|Data, Networks, and Algorithms Laboratory Team
northeastern:drs:college_of_engineering:electrical_and_computer_engineering:genesys|GENESYS Lab Team
northeastern:drs:college_of_engineering:electrical_and_computer_engineering:grants:nsf_eeg_1812588|College of Engineering - NSF_EEG_1812588
northeastern:drs:college_of_engineering:electrical_and_computer_engineering:un_lab|Ultra-Broadband Nanonetworking (Un) Laboratory Staff
northeastern:drs:college_of_engineering:mechanical_and_industrial_engineering:combustion_air_pollution_lab|College of Engineering - Combustion and Air Pollution Lab
northeastern:drs:college_of_engineering:mechanical_and_industrial_engineering:shefelbine_lab|Shefelbine Lab Team
northeastern:drs:college_of_engineering:mechanical_and_industrial_engineering:shepherd_lab|Shepherd Lab Team
northeastern:drs:college_of_engineering:river_lab|RIVeR Lab Team
northeastern:drs:college_of_engineering:wiot|Institute for the Wireless Internet of Things Research Team
northeastern:drs:college_of_engineering:wiot-staff|Institute for the Wireless Internet of Things Staff
northeastern:drs:college_of_professional_studies:facultypodcast|College of Professional Studies - Faculty Podcast
northeastern:drs:college_of_professional_studies:media|College of Professional Studies - Media Group
northeastern:drs:college_of_professional_studies:regulatory-affairs-chronicle_staff|Regulatory Affairs Chronicle - Staff
northeastern:drs:college_of_science:behavioral_neuroscience:undergraduate_programs|College of Science - Department of Behavioral Neuroscience Staff
northeastern:drs:college_of_science:biology:monaghan_lab|Monaghan Lab Team
northeastern:drs:college_of_science:biology:undergraduate_programs|College of Science - Undergraduate Biology Programs
northeastern:drs:college_of_science:deans_office:media|College of Science - Dean's Office Media Team
northeastern:drs:college_of_science:linguistics_program:honors_projects|College of Science - Honors Projects in Linguistics
northeastern:drs:college_of_science:marine_science_center:msc_staff|College of Science - Marine Science Center Staff
northeastern:drs:college_of_science:marine_science_center:ogl_staff|College of Science - Ocean Genome Legacy Staff
northeastern:drs:college_of_science:psychology:psylink|PsyLink Team
northeastern:drs:college_of_science:social_interaction_lab|College of Science - Social Interaction Lab Staff
northeastern:drs:college_of_social_sciences_humanities:bari|CSSH - BARI
northeastern:drs:college_of_social_sciences_humanities:breaking_history|CSSH - Breaking History Podcast Team
northeastern:drs:college_of_social_sciences_humanities:catskills_institute|The Catskills Institute
northeastern:drs:college_of_social_sciences_humanities:dailp:dailp_staff|Digital Archive of American Indian Languages Preservation and Perseverance
northeastern:drs:college_of_social_sciences_humanities:department_of_history:dh_jews_of_boston|DH Jews of Boston Project Team
northeastern:drs:college_of_social_sciences_humanities:department_of_history:digital_public_history|CSSH - Digital Public History
northeastern:drs:college_of_social_sciences_humanities:dominican_prayer_book|CSSH - Dominican Prayer Book Project Team
northeastern:drs:college_of_social_sciences_humanities:dudley_square_project|CSSH - Dudley Square Project Team
northeastern:drs:college_of_social_sciences_humanities:deans_office|CSSH - Dean's Office Staff
northeastern:drs:college_of_social_sciences_humanities:department_of_sociology_anthropology:projects|CSSH - Department_of Sociology and Anthropology Program Staff
northeastern:drs:college_of_social_sciences_humanities:dta|Digital Transgender Archive Project Team
northeastern:drs:college_of_social_sciences_humanities:early_black_boston_digital_almanac|CSSH - Early Black Boston Digital Almanac Team
northeastern:drs:college_of_social_sciences_humanities:early_caribbean_digital_archive|CSSH - Early Caribbean Digital Archive Project Team
northeastern:drs:college_of_social_sciences_humanities:eliterature|CSSH - E-literature Project Team
northeastern:drs:college_of_social_sciences_humanities:holocaust_awareness_committee|Holocaust and Genocide Awareness Committee
northeastern:drs:college_of_social_sciences_humanities:humanities_center:neh_space_place_humanities|CSSH - NEH Summer Institute on Space, Place, and the Humanities Project Team
northeastern:drs:college_of_social_sciences_humanities:margaret_fuller|CSSH - Margaret Fuller Project
northeastern:drs:college_of_social_sciences_humanities:nulab:nulab_ai|CSSH - NULab AI Research Team
northeastern:drs:college_of_social_sciences_humanities:nulab:nulab_staff|CSSH - NULab
northeastern:drs:college_of_social_sciences_humanities:social_impact_lab|Social Impact Lab Team
northeastern:drs:college_of_social_sciences_humanities:thoreau_drawings|CSSH - Thoreau Project Team
northeastern:drs:college_of_social_sciences_humanities:writing_program|CSSH - Writing Program Team
northeastern:drs:courses:cltr1240_sec01|Academic Course - CLTR1240_SEC01
northeastern:drs:courses:cltr3725_sec01|Academic Course - CLTR3725_SEC01
northeastern:drs:courses:engl_2740|Academic Course - ENGL_2740
northeastern:drs:courses:HIST1215|Academic Course - HIST1215
northeastern:drs:courses:hist7320|Academic Course - HIST7320
northeastern:drs:courses:frnh102|Academic Course - FRNH102
northeastern:drs:courses:larc2340|Academic Course - LARC2340
northeastern:drs:courses:ling4654|Academic Course - LING4654
northeastern:drs:courses:rms6260_sec01|Academic Course - RMS6260_SEC01
northeastern:drs:courses:socl_2450|Academic Course - SOCL_2450
northeastern:drs:damore_mckim:community_resources|D'Amore-McKim - Community Resources Project Team 
northeastern:drs:damore_mckim:marcom|D'Amore-McKim - Marketing Group
northeastern:drs:drspt:arader_gallery|Arader Picturing the World Gallery Project Team
northeastern:drs:enrollment_management:emc:emc_admin|EMSA - EMC Admin Staff
northeastern:drs:enrollment_management:emc:emc_staff|EMSA - EMC General Staff
northeastern:drs:enrollment_management:emsa|EMSA Staff
